Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;
A Hybrid System Combining Description Logics and Rules for Inventive Design;Knowledge-Based and Intelligent Information and Engineering Systems;;;;10.1007/978-3-642-04595-0_11;Alexis BulteyCecilia Zanni-MerkFran«ıois RousselotFran«ıois de Beuvron;2009;http://link.springer.com/chapter/10.1007/978-3-642-04595-0_11;Chapter;;;;
Evolving objects in temporal information systems;Annals of Mathematics and Artificial Intelligence;;50;01/fev;10.1007/s10472-007-9068-z;Alessandro ArtaleChristine ParentStefano Spaccapietra;2007;http://link.springer.com/article/10.1007/s10472-007-9068-z;Article;;;;
Temporal Query Answering in the Description Logic DL-Lite;Frontiers of Combining Systems;;;;10.1007/978-3-642-40885-4_11;Stefan BorgwardtMarcel LippmannVeronika Thost;2013;http://link.springer.com/chapter/10.1007/978-3-642-40885-4_11;Chapter;;;;
MurO: A Multi-representation Ontology as a Foundation of Enterprise Information Systems;Intelligent Information Technology;;;;10.1007/978-3-540-30561-3_31;Rami RifaiehAhmed AraraA«Ócha Nabila Benharkat;2005;http://link.springer.com/chapter/10.1007/978-3-540-30561-3_31;Chapter;;;;
Revisiting Default Description Logics É?? and Their Role in Aligning Ontologies;Semantic Technology;;;;10.1007/978-3-319-15615-6_1;Kunal SenguptaPascal HitzlerKrzysztof Janowicz;2015;http://link.springer.com/chapter/10.1007/978-3-319-15615-6_1;Chapter;;;;
Knowledge Representation and Ontologies;Semantic Web Services;;;;10.1007/3-540-70894-4_3;Grimm É??st StephanHitzler É??st PascalAbecker É??st Andreas;2007;http://link.springer.com/chapter/10.1007/3-540-70894-4_3;Chapter;;;;
Derivation Rules in Object-Oriented Conceptual Modeling Languages;Advanced Information Systems Engineering;;;;10.1007/3-540-45017-3_28;Antoni Oliv«∏;2003;http://link.springer.com/chapter/10.1007/3-540-45017-3_28;Chapter;;;;
Reasoning on temporal class diagrams: Undecidability results;Annals of Mathematics and Artificial Intelligence;;46;3;10.1007/s10472-006-9019-0;Alessandro Artale;2006;http://link.springer.com/article/10.1007/s10472-006-9019-0;Article;;;;
Ontology-Based Reasoning Techniques for Multimedia Interpretation and Retrieval;Semantic Multimedia and Ontologies;;;;10.1007/978-1-84800-076-6_3;Ralf M«ÙllerBernd Neumann;2008;http://link.springer.com/chapter/10.1007/978-1-84800-076-6_3;Chapter;;;;
Incorporating generalized quantifiers into description logic for representing data source contents;Data Mining and Reverse Engineering;;;;10.1007/978-0-387-35300-5_14;S. Y. TuS. Madnick;1998;http://link.springer.com/chapter/10.1007/978-0-387-35300-5_14;Chapter;;;;
Ontology Reasoning with Large Data Repositories;Ontology Management;;;;10.1007/978-0-387-69900-4_4;Stijn HeymansLi MaDarko AnicicZhilei MaNathalie SteinmetzYue PanJing MeiAchille FokoueAditya KalyanpurAaron KershenbaumEdith SchonbergKavitha SrinivasCristina FeierGraham HenchBranimir WetzsteinUwe Keller;2008;http://link.springer.com/chapter/10.1007/978-0-387-69900-4_4;Chapter;;;;
Rational Closure for Defeasible Description Logics;Logics in Artificial Intelligence;;;;10.1007/978-3-642-15675-5_9;Giovanni CasiniUmberto Straccia;2010;http://link.springer.com/chapter/10.1007/978-3-642-15675-5_9;Chapter;;;;
A Decidable Very Expressive Description Logic for Databases;The Semantic Web É?? ISWC 2017;;;;10.1007/978-3-319-68288-4_3;Alessandro ArtaleEnrico FranconiRafael Pe«ÒalozaFrancesco Sportelli;2017;http://link.springer.com/chapter/10.1007/978-3-319-68288-4_3;Chapter;;;;
Integrity Constraints Definition in Object-Oriented Conceptual Modeling Languages;Conceptual Modeling - ER 2003;;;;10.1007/978-3-540-39648-2_28;Antoni Oliv«∏;2003;http://link.springer.com/chapter/10.1007/978-3-540-39648-2_28;Chapter;;;;
Modelling the CBR Life Cycle Using Description Logics É??;Case-Based Reasoning Research and Development;;;;10.1007/3-540-48508-2_11;Mercedes G«¸mez-Albarr«≠nPedro A. Gonz«≠lez-CaleroBel«∏n D«az-AgudoCarlos Fern«≠ndez-Conde;1999;http://link.springer.com/chapter/10.1007/3-540-48508-2_11;Chapter;;;;
